"","name","usage","count","Type1","Type2","bst","hp","atk","def","spatk","spdef","spd","mult_Grass","mult_Normal","mult_Water","mult_Dragon","mult_Electric","mult_Fighting","mult_Poison","mult_Fire","mult_Bug","mult_Ice","mult_Psychic","mult_Ghost","mult_Dark","mult_Flying","mult_Rock","mult_Steel","mult_Fairy","mult_Ground","pivot","hazard_control","hazard","total"
"11","Arcanine-Hisui",2.18434,56034,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"12","Arctibax",0.00555285714285714,1433,"Dragon","Ice",423,90,95,66,45,65,62,0.5,1,0.5,2,0.5,2,1,1,1,1,1,1,1,1,2,2,2,1,"0","0","0",27120200
"13","Armarouge",3.65294,963203,"Fire","Psychic",525,85,60,100,125,80,75,0.5,1,2,1,1,0.5,1,0.5,1,0.5,0.5,2,2,1,2,0.5,0.5,2,"0","0","0",27120200
"14","Arrokuda",0.000481428571428571,134,"Water","",280,41,63,40,40,30,66,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"15","Articuno",0.04198,1077,"Ice","Flying",580,90,85,100,95,125,85,0.5,1,1,1,2,1,1,2,0.5,1,1,1,1,1,4,2,1,0,"1","0","0",27120200
"16","Articuno-Galar",0.11948,3065,"Psychic","Flying",580,90,85,85,125,100,95,0.5,1,1,1,2,0.25,1,1,1,2,0.5,2,2,1,2,1,1,0,"1","0","0",27120200
"17","Avalugg",0.649105714285714,193026,"Ice","",514,95,117,184,44,46,28,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","1","1",27120200
"18","Avalugg-Hisui",0.30847,7913,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"19","Axew",0.00169714285714286,369,"Dragon","",320,46,87,60,30,40,57,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"20","Azelf",0.38682,9923,"Psychic","",580,75,125,70,125,70,115,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"1","0","1",27120200
"21","Azumarill",6.10656857142857,1519828,"Water","Fairy",420,100,50,80,60,80,50,2,1,0.5,0,2,0.5,2,0.5,0.5,0.5,1,1,0.5,1,1,1,1,1,"0","0","0",27120200
"22","Azurill",0.00287,696,"Normal","Fairy",190,50,20,40,20,40,20,1,1,1,0,1,1,2,1,0.5,1,1,0,0.5,1,1,2,1,1,"0","0","0",27120200
"23","Bagon",0.00114,315,"Dragon","",300,45,75,60,40,30,50,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"24","Banette",0.0451957142857143,13331,"Ghost","",455,64,115,65,83,63,65,1,0,1,1,1,0,0.5,1,0.5,1,1,2,2,1,1,1,1,1,"0","0","0",27120200
"25","Barboach",0.000524285714285714,131,"Water","Ground",288,50,48,43,46,41,60,4,1,1,1,0,1,0.5,0.5,1,1,1,1,1,1,0.5,0.5,1,1,"0","0","1",27120200
"26","Barraskewda",1.13411285714286,340081,"Water","",490,61,123,60,60,50,136,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"27","Basculegion",1.39779,35857,"Water","Ghost",530,120,112,65,80,75,78,2,0,0.5,1,2,0,0.5,0.5,0.5,0.5,1,2,2,1,1,0.5,1,1,"1","0","0",27120200
"28","Basculegion-F",0.56423,14474,"Poison","",275,55,47,52,40,40,41,0.5,1,1,1,1,0.5,0.5,1,0.5,1,2,1,1,1,1,1,0.5,2,"0","0","0",27120200
"29","Basculin",0.0798085714285714,23266,"Water","",460,70,92,65,80,55,98,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"30","Baxcalibur",10.6296342857143,2726486,"Dragon","Ice",600,115,145,92,75,86,87,0.5,1,0.5,2,0.5,2,1,1,1,1,1,1,1,1,2,2,2,1,"0","0","0",27120200
"31","Beartic",0.183824285714286,53913,"Ice","",505,95,130,80,70,80,50,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","0",27120200
"32","Bellibolt",0.907875714285714,285635,"Electric","",495,109,64,91,103,83,45,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"33","Bergmite",0.000951428571428571,224,"Ice","",304,55,69,85,32,35,28,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","1","0",27120200
"34","Bisharp",0.587357142857143,164126,"Dark","Steel",490,65,125,100,60,70,70,0.5,0.5,1,0.5,1,4,0,2,1,0.5,0,0.5,0.5,0.5,0.5,0.5,1,2,"0","0","1",27120200
"35","Blissey",1.79924142857143,506839,"Normal","",540,255,10,10,75,135,55,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","1",27120200
"36","Bombirdier",0.307051428571429,100108,"Flying","Dark",485,70,103,85,60,85,82,0.5,1,1,1,2,1,1,1,1,2,0,0.5,0.5,1,2,1,2,0,"1","0","1",27120200
"37","Bonsly",0.00452428571428571,1074,"Rock","",290,50,80,95,10,45,10,2,0.5,2,1,1,2,0.5,0.5,1,1,1,1,1,0.5,1,2,1,2,"0","0","1",27120200
"38","Bounsweet",0.000842857142857143,224,"Grass","",210,42,30,38,30,38,32,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","1","0",27120200
"39","Braixen",0.00074,19,"Fire","",409,59,59,58,90,70,73,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"40","Brambleghast",0.595058571428571,170501,"Grass","Ghost",480,55,115,70,80,70,90,0.5,0,0.5,1,0.5,0,1,2,1,2,1,2,2,2,1,1,1,0.5,"0","1","1",27120200
"41","Bramblin",0.00151857142857143,356,"Grass","Ghost",275,40,65,30,45,35,60,0.5,0,0.5,1,0.5,0,1,2,1,2,1,2,2,2,1,1,1,0.5,"0","1","1",27120200
"42","Braviary",0.145395714285714,40469,"Normal","Flying",510,100,123,75,57,75,80,0.5,1,1,1,2,1,1,1,0.5,2,1,0,1,1,2,1,1,0,"1","1","0",27120200
"43","Braviary-Hisui",1.19399,30629,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"44","Breloom",8.41759142857143,2270609,"Grass","Fighting",460,60,130,80,60,60,70,0.5,1,0.5,1,0.5,1,2,2,1,2,2,1,0.5,4,0.5,1,2,0.5,"0","0","0",27120200
"45","Bronzong",0.413594285714286,121508,"Steel","Psychic",500,67,89,116,79,116,33,0.5,0.5,1,0.5,1,1,0,2,1,0.5,0.25,2,2,0.5,0.5,0.5,0.5,2,"0","0","1",27120200
"46","Bronzor",0.00314714285714286,717,"Steel","Psychic",300,57,24,86,24,86,23,0.5,0.5,1,0.5,1,1,0,2,1,0.5,0.25,2,2,0.5,0.5,0.5,0.5,2,"0","0","1",27120200
"47","Brute Bonnet",1.14763285714286,307823,"Grass","Dark",570,111,127,99,79,99,55,0.5,1,0.5,1,0.5,2,2,2,4,2,0,0.5,0.5,2,1,1,2,0.5,"0","0","0",27120200
"48","Bruxish",0.0784742857142857,22207,"Water","Psychic",475,68,105,70,70,70,92,2,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,2,2,1,1,0.5,1,1,"1","0","0",27120200
"49","Buizel",0.00196142857142857,526,"Water","",330,55,65,35,60,30,85,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"50","Cacnea",0.00140428571428571,361,"Grass","",335,50,85,40,85,40,35,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","0","1",27120200
"51","Cacturne",0.128132857142857,34187,"Grass","Dark",475,70,115,60,115,60,55,0.5,1,0.5,1,0.5,2,2,2,4,2,0,0.5,0.5,2,1,1,2,0.5,"0","0","1",27120200
"52","Calyrex",0.01236,317,"Psychic","Grass",500,100,80,80,80,80,80,0.5,1,0.5,1,0.5,0.5,2,2,4,2,0.5,2,2,2,1,1,1,0.5,"0","0","0",27120200
"53","Camerupt",0.0791114285714286,22040,"Fire","Ground",460,70,100,70,105,75,40,1,1,4,1,0,1,0.5,0.5,0.5,1,1,1,1,1,1,0.5,0.5,2,"0","0","1",27120200
"54","Capsakid",0.00125428571428571,265,"Grass","",304,50,62,40,62,40,50,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","0","0",27120200
"55","Carbink",0.04931,1265,"Rock","Fairy",500,50,50,150,50,150,50,2,0.5,2,0,1,1,1,0.5,0.5,1,1,1,0.5,0.5,1,4,1,2,"0","0","1",27120200
"56","Carkol",0.00774428571428571,1757,"Rock","Fire",410,80,60,90,60,70,50,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","1","1",27120200
"57","Ceruledge",9.46193714285714,2588768,"Fire","Ghost",525,75,125,80,60,100,85,0.5,0,2,1,1,0,0.5,0.5,0.25,0.5,1,2,2,1,2,0.5,0.5,2,"0","0","0",27120200
"58","Cetitan",1.05622571428571,331417,"Ice","",521,170,113,65,45,55,73,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","0",27120200
"59","Cetoddle",0.00342857142857143,887,"Ice","",334,108,68,45,30,40,43,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","0",27120200
"60","Chansey",0.355608571428571,99308,"Normal","",450,250,5,5,35,105,50,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","1",27120200
"61","Charcadet",0.00145,385,"Fire","",255,40,50,40,50,40,35,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"62","Charizard",1.100115,261360,"Fire","Flying",534,78,84,78,109,85,100,0.25,1,2,1,2,0.5,1,0.5,0.25,1,1,1,1,1,4,0.5,0.5,0,"0","0","0",27120200
"63","Charmander",0.00215166666666667,451,"Fire","",309,39,52,43,60,50,65,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"64","Charmeleon",0.002025,428,"Fire","",405,58,64,58,80,65,80,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"65","Chesnaught",3.13352,80383,"Grass","Fighting",530,88,107,122,74,75,64,0.5,1,0.5,1,0.5,1,2,2,1,2,2,1,0.5,4,0.5,1,2,0.5,"0","0","1",27120200
"66","Chespin",9e-04,23,"Grass","",313,56,61,65,48,45,38,0.5,1,0.5,1,0.5,1,2,2,2,2,1,1,1,2,1,1,1,0.5,"0","0","1",27120200
"67","Chewtle",0.000592857142857143,147,"Water","",284,50,64,50,38,38,44,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"0","0","0",27120200
"68","Chi-Yu",17.36195,3048092,"Dark","Fire",570,55,80,80,135,120,100,0.5,1,2,1,1,2,1,0.5,1,0.5,0,0.5,0.5,1,2,0.5,1,2,"0","0","0",27120200
"69","Chien-Pao",15.806466,3812663,"Dark","Ice",570,80,120,80,90,65,135,1,1,1,1,1,4,1,2,2,0.5,0,0.5,0.5,1,2,2,2,1,"0","0","0",27120200
"70","Cinderace",9.28981333333333,1756965,"Fire","",530,80,116,75,65,75,119,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"1","1","0",27120200
"71","Clauncher",0.00076,175,"Water","",330,50,53,62,58,63,44,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"72","Clawitzer",0.268905714285714,82079,"Water","",500,71,73,88,120,89,59,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"73","Clodsire",13.5665557142857,3718447,"Poison","Ground",430,130,75,60,45,100,20,1,1,2,1,0,0.5,0.25,1,0.5,2,2,1,1,1,0.5,1,0.5,2,"0","0","1",27120200
"74","Cloyster",1.16838142857143,326292,"Water","Ice",525,50,95,180,85,45,70,2,1,0.5,1,2,2,1,1,1,0.25,1,1,1,1,2,1,1,1,"0","0","1",27120200
"75","Coalossal",0.194634285714286,54659,"Rock","Fire",510,110,80,120,80,90,30,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","1","1",27120200
"76","Combee",0.000692857142857143,179,"Bug","Flying",244,30,30,42,30,42,70,0.25,1,1,1,2,0.25,1,2,0.5,2,1,1,1,2,4,1,1,0,"0","0","0",27120200
"77","Copperajah",0.0722685714285714,19244,"Steel","",500,122,130,69,80,69,30,0.5,0.5,1,0.5,1,2,0,2,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,2,"0","0","1",27120200
"78","Corviknight",17.9977757142857,4902035,"Flying","Steel",495,98,87,105,53,85,67,0.25,0.5,1,0.5,2,1,0,2,0.25,1,0.5,1,1,0.5,1,0.5,0.5,0,"1","1","0",27120200
"79","Corvisquire",0.00194142857142857,539,"Flying","",365,68,67,55,43,55,77,0.5,1,1,1,2,0.5,1,1,0.5,2,1,1,1,1,2,1,1,0,"1","1","0",27120200
"80","Crabominable",0.128081428571429,34613,"Fighting","Ice",478,97,132,77,62,67,43,1,1,1,1,1,2,1,2,0.5,0.5,2,1,0.5,2,1,2,2,1,"0","0","0",27120200
"81","Crabrawler",0.000715714285714286,193,"Fighting","",338,47,82,57,42,47,63,1,1,1,1,1,1,1,1,0.5,1,2,1,0.5,2,0.5,1,2,1,"0","0","0",27120200
"82","Cresselia",0.99148,25434,"Psychic","",580,120,70,110,75,120,85,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"83","Croagunk",0.00122571428571429,306,"Poison","Fighting",300,48,61,40,61,40,50,0.5,1,1,1,1,0.5,0.5,1,0.25,1,4,1,0.5,2,0.5,1,1,2,"0","0","0",27120200
"84","Crocalor",0.0375642857142857,9297,"Fire","",411,81,55,78,90,58,49,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"85","Cryogonal",0.238161428571429,62441,"Ice","",515,80,50,50,95,135,105,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","1","0",27120200
"86","Cubchoo",0.000657142857142857,159,"Ice","",305,55,70,40,60,40,40,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"0","0","0",27120200
"87","Cufant",0.00137428571428571,294,"Steel","",330,72,80,49,40,49,40,0.5,0.5,1,0.5,1,2,0,2,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,2,"0","0","1",27120200
"88","Cyclizar",9.023174,2487385,"Dragon","Normal",501,70,95,65,85,65,121,0.5,1,0.5,2,0.5,2,1,0.5,1,2,1,0,1,1,1,1,2,1,"1","1","0",27120200
"89","Cyndaquil",0.001125,56,"Fire","",309,39,52,43,60,50,65,0.5,1,2,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,0.5,0.5,2,"0","0","0",27120200
"90","Dachsbun",0.664508571428571,226867,"Fairy","",477,57,80,115,50,80,95,1,1,1,0,1,0.5,2,1,0.5,1,1,1,0.5,1,1,2,1,1,"0","0","0",27120200
"91","Dartrix",0.00325666666666667,244,"Grass","Flying",420,78,75,75,70,70,52,0.25,1,0.5,1,1,0.5,2,2,1,4,1,1,1,2,2,1,1,0,"0","1","0",27120200
"92","Decidueye",0.9557,77407,"Grass","Ghost",530,78,107,75,100,100,70,0.5,0,0.5,1,0.5,0,1,2,1,2,1,2,2,2,1,1,1,0.5,"1","1","1",27120200
"93","Decidueye-Hisui",0.77684,19928,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"94","Dedenne",0.0522514285714286,14512,"Electric","Fairy",431,67,58,57,81,67,101,1,1,1,0,0.5,0.5,2,1,0.5,1,1,1,0.5,0.5,1,1,1,2,"1","0","0",27120200
"95","Deerling",0.000408571428571429,105,"Normal","Grass",335,60,60,50,40,50,75,0.5,1,0.5,1,0.5,2,2,2,2,2,1,0,1,2,1,1,1,0.5,"0","0","0",27120200
"96","Deino",0.00049,124,"Dark","Dragon",300,52,65,50,45,50,38,0.5,1,0.5,2,0.5,2,1,0.5,2,2,0,0.5,0.5,1,1,1,4,1,"0","0","0",27120200
"97","Delibird",0.0326757142857143,8989,"Ice","Flying",330,45,55,45,65,45,75,0.5,1,1,1,2,1,1,2,0.5,1,1,1,1,1,4,2,1,0,"0","1","1",27120200
"98","Delphox",0.12642,3243,"Fire","Psychic",534,75,69,72,114,100,104,0.5,1,2,1,1,0.5,1,0.5,1,0.5,0.5,2,2,1,2,0.5,0.5,2,"0","0","0",27120200
"99","Dewott",0.003235,158,"Water","",413,75,75,60,83,60,60,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"100","Diancie",0.13671,3507,"Rock","Fairy",600,50,100,150,100,150,50,2,0.5,2,0,1,1,1,0.5,0.5,1,1,1,0.5,0.5,1,4,1,2,"0","0","1",27120200
"101","Diglett",0.00279857142857143,758,"Ground","",265,10,55,25,35,45,95,2,1,2,1,0,1,0.5,1,1,2,1,1,1,1,0.5,1,1,1,"0","0","1",27120200
"102","Diglett-Alola",0.00012,3,"Ground","Steel",265,10,55,30,35,45,90,1,0.5,2,0.5,0,2,0,2,0.5,1,0.5,1,1,0.5,0.25,0.5,0.5,2,"0","0","1",27120200
"103","Ditto",2.19164857142857,708473,"Normal","",288,48,48,48,48,48,48,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","0",27120200
"104","Dolliv",0.00474,1390,"Grass","Normal",354,52,53,60,78,78,33,0.5,1,0.5,1,0.5,2,2,2,2,2,1,0,1,2,1,1,1,0.5,"0","0","0",27120200
"105","Dondozo",7.38458142857143,2121271,"Water","",530,150,100,115,65,65,35,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"0","0","0",27120200
"106","Donphan",0.447134285714286,119268,"Ground","",500,90,120,120,60,60,50,2,1,2,1,0,1,0.5,1,1,2,1,1,1,1,0.5,1,1,1,"0","1","1",27120200
"107","Dragalge",0.283482857142857,75997,"Poison","Dragon",494,65,75,90,97,123,44,0.25,1,0.5,2,0.5,0.5,0.5,0.5,0.5,2,2,1,1,1,1,1,1,2,"1","0","1",27120200
"108","Dragapult",17.2115985714286,4452581,"Dragon","Ghost",600,88,120,75,100,75,142,0.5,0,0.5,2,0.5,0,0.5,0.5,0.5,2,1,2,2,1,1,1,2,1,"1","0","0",27120200
"109","Dragonair",0.0112642857142857,2802,"Dragon","",420,61,84,65,70,70,70,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"110","Dragonite",15.0197557142857,4011889,"Dragon","Flying",600,91,134,95,100,100,80,0.25,1,0.5,2,1,0.5,1,0.5,0.5,4,1,1,1,1,2,1,2,0,"0","0","0",27120200
"111","Drakloak",0.00350714285714286,870,"Dragon","Ghost",410,68,80,50,60,50,102,0.5,0,0.5,2,0.5,0,0.5,0.5,0.5,2,1,2,2,1,1,1,2,1,"1","0","0",27120200
"112","Dratini",0.000821428571428571,194,"Dragon","",300,41,64,45,50,50,50,0.5,1,0.5,2,0.5,1,1,0.5,1,2,1,1,1,1,1,1,2,1,"0","0","0",27120200
"113","Drednaw",0.350412857142857,96726,"Water","Rock",485,90,115,90,48,68,74,4,0.5,1,1,2,2,0.5,0.25,1,0.5,1,1,1,0.5,1,1,1,2,"0","0","1",27120200
"114","Dreepy",0.000334285714285714,77,"Dragon","Ghost",270,28,60,30,40,30,82,0.5,0,0.5,2,0.5,0,0.5,0.5,0.5,2,1,2,2,1,1,1,2,1,"0","0","0",27120200
"115","Drifblim",0.290271428571429,77310,"Ghost","Flying",498,150,80,44,90,54,80,0.5,0,1,1,2,0,0.5,1,0.25,2,1,2,2,1,2,1,1,0,"0","1","0",27120200
"116","Drifloon",0.00410857142857143,915,"Ghost","Flying",348,90,50,34,60,44,70,0.5,0,1,1,2,0,0.5,1,0.25,2,1,2,2,1,2,1,1,0,"0","1","0",27120200
"117","Drizzile",0.00019,5,"Water","",420,65,60,55,95,55,90,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"118","Drowzee",0.00159285714285714,343,"Psychic","",328,60,48,45,43,90,42,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","0","0",27120200
"119","Dudunsparce",0.55163,172487,"Normal","",520,125,100,80,85,75,55,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","1",27120200
"120","Dugtrio",0.12208,35138,"Ground","",425,35,100,50,50,70,120,2,1,2,1,0,1,0.5,1,1,2,1,1,1,1,0.5,1,1,1,"0","0","1",27120200
"121","Dugtrio-Alola",0.03863,991,"Ground","Steel",425,35,100,60,50,70,110,1,0.5,2,0.5,0,2,0,2,0.5,1,0.5,1,1,0.5,0.25,0.5,0.5,2,"0","0","1",27120200
"122","Dunsparce",0.108327142857143,31361,"Normal","",415,100,70,70,65,65,45,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","1",27120200
"123","Eelektrik",0.00263142857142857,634,"Electric","",405,65,85,70,75,70,40,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"124","Eelektross",0.342382857142857,99472,"Electric","",515,85,115,80,105,80,50,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"125","Eevee",0.01202,2912,"Normal","",325,55,55,50,45,65,55,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,"0","0","0",27120200
"126","Eiscue",0.19417,52552,"Ice","",470,75,80,110,65,90,50,1,1,1,1,1,2,1,2,1,0.5,1,1,1,1,2,2,1,1,"1","0","0",27120200
"127","Electrode",0.154995714285714,40810,"Electric","",490,60,50,70,80,80,150,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"128","Electrode-Hisui",0.43493,11157,"Fire","Rock",350,60,75,45,65,50,55,1,0.5,4,1,1,2,0.5,0.25,0.5,0.5,1,1,1,0.5,2,1,0.5,4,"0","0","1",27120200
"129","Enamorus",1.73433,44490,"Fairy","Flying",580,74,115,70,135,80,106,0.5,1,1,0,2,0.25,2,1,0.25,2,1,1,0.5,1,2,2,1,0,"0","0","0",27120200
"130","Enamorus-Therian",0.59078,15155,"Flying","",580,79,100,80,110,90,121,0.5,1,1,1,2,0.5,1,1,0.5,2,1,1,1,1,2,1,1,0,"1","0","0",27120200
"131","Espathra",5.86529,1158311,"Psychic","",481,95,60,60,101,60,105,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"1","0","0",27120200
"132","Espeon",1.50503428571429,418464,"Psychic","",525,65,65,60,130,95,110,1,1,1,1,1,0.5,1,1,2,1,0.5,2,2,1,1,1,1,1,"0","1","0",27120200
"133","Falinks",0.0651457142857143,18746,"Fighting","",470,65,100,100,70,60,75,1,1,1,1,1,1,1,1,0.5,1,2,1,0.5,2,0.5,1,2,1,"0","0","0",27120200
"134","Farigiraf",0.475678571428571,149185,"Normal","Psychic",520,120,90,70,110,70,60,1,1,1,1,1,1,1,1,2,1,0.5,0,2,1,1,1,1,1,"0","0","0",27120200
"135","Fidough",0.00151714285714286,362,"Fairy","",312,37,55,70,30,55,65,1,1,1,0,1,0.5,2,1,0.5,1,1,1,0.5,1,1,2,1,1,"0","0","0",27120200
"136","Finizen",0.00389857142857143,1026,"Water","",315,70,45,40,45,40,75,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"0","0","0",27120200
"137","Finneon",0.000372857142857143,92,"Water","",330,49,49,56,49,61,66,2,1,0.5,1,2,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,1,"1","0","0",27120200
"138","Flaaffy",0.00146,335,"Electric","",365,70,55,55,80,60,45,1,1,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,0.5,1,2,"1","0","0",27120200
"139","Flabebe",0.00104142857142857,260,"Fairy","",303,44,38,39,61,79,42,1,1,1,0,1,0.5,2,1,0.5,1,1,1,0.5,1,1,2,1,1,"0","0","0",27120200
"140","Flamigo",0.600135714285714,182284,"Flying","Fighting",500,82,115,74,75,64,90,0.5,1,1,1,2,0.5,1,1,0.25,2,2,1,0.5,2,1,1,2,0,"1","0","0",27120200
"141","Flapple",0.0711657142857143,19779,"Grass","Dragon",485,70,110,80,95,60,70,0.25,1,0.25,2,0.25,1,2,1,2,4,1,1,1,2,1,1,2,0.5,"1","0","0",27120200
